gene_name	strand	start	end	chr
DDX11L1	+	11868	14412	chr1
WASH7P	-	14362	29806	chr1
MIR1302-10	+	29553	31109	chr1
FAM138A	-	34553	36081	chr1
OR4G4P	+	52472	54936	chr1
OR4G11P	+	62947	63887	chr1
OR4F5	+	69090	70008	chr1
RP11-34P13.7	-	89294	133566	chr1
RP11-34P13.8	-	89550	91105	chr1
CICP27	+	131024	134836	chr1
AL627309.1	-	134900	139379	chr1
RP11-34P13.15	-	135140	135895	chr1
RP11-34P13.16	-	137681	137965	chr1
RP11-34P13.14	-	139789	140339	chr1
RP11-34P13.13	-	141473	173862	chr1
RNU6-1100P	-	157783	157887	chr1
RP11-34P13.9	+	160445	161525	chr1
AP006222.2	-	227614	267253	chr1
AP006222.1	-	228291	228775	chr1
RP4-669L17.10	+	317719	453948	chr1
RP4-669L17.8	+	326095	328112	chr1
CICP7	-	329430	332236	chr1
RP4-669L17.4	+	334125	334305	chr1
OR4F29	+	367639	368634	chr1
WBP1LP7	-	379104	379467	chr1
AL732372.1	-	450819	450910	chr1
RP4-669L17.2	-	453632	460480	chr1
RP5-857K21.15	+	459655	461954	chr1
RP4-669L17.1	+	470970	471355	chr1
RP5-857K21.1	-	521368	523833	chr1
RP5-857K21.2	+	523008	530148	chr1
RP5-857K21.3	-	529832	532878	chr1
RP5-857K21.4	-	536815	659930	chr1
RP5-857K21.5	-	562756	564390	chr1
MTND1P23	+	564441	564813	chr1
MTND2P28	+	565019	566063	chr1
hsa-mir-6723	+	566453	567996	chr1
RP5-857K21.7	+	568136	568818	chr1
MTATP8P1	+	568914	569121	chr1
MTATP6P1	+	569075	569756	chr1
RP5-857K21.11	+	569755	570302	chr1
WBP1LP6	+	610221	610645	chr1
OR4F16	-	621058	622053	chr1
CICP3	+	657471	660283	chr1
RP11-206L10.1	-	661610	663527	chr1
RP11-206L10.3	-	677192	685396	chr1
RNU6-1199P	-	693612	693716	chr1
RP11-206L10.5	-	694411	700305	chr1
RP11-206L10.4	+	696290	697369	chr1
RP11-206L10.2	-	700236	714006	chr1
RP11-206L10.9	+	714149	745440	chr1
RP11-206L10.8	-	736258	745541	chr1
